itemID|brand|manufacturer|customerRating|category1|category2|category3|recommendedRetailPrice|minSalesPrice|maxSalesPrice|meanSalesPrice|minSalesPriceCounts|maxSalesPriceCounts|unitsSold|revenue|relRevenue|dateFirstSell|dateLastSell|soldDaily|soldWeekly|soldMonthly|recentlySold
23|0|5|5.0|1|4|4|25.65|31.58|31.58|31.57999999999997|66.0|66.0|66.0|2084.2799999999997|2.8643405638231182e-05|2018-01-09|2018-04-30|0.20535714285714285|0.8235294117647058|1.0|33.0
24|0|8|3.71|1|1|1|9.31|1.81|1.81|1.8099999999999998|15.0|15.0|15.0|27.150000000000002|3.7311132049339665e-07|2018-01-03|2018-03-15|0.18055555555555555|0.8181818181818182|1.0|79.0
25|0|11|5.0|1|1|1|27.38|10.5|10.5|10.5|61.0|61.0|61.0|640.5|8.802128942026539e-06|2018-01-15|2018-05-15|0.09090909090909091|0.4444444444444444|1.0|18.0
26|0|8|5.0|1|1|1|23.62|13.75|14.25|13.883093525179856|109.0|40.0|149.0|2068.75|2.8429983214390948e-05|2018-01-01|2018-05-29|0.08053691275167785|0.36363636363636365|1.0|4.0
27|0|8|2.6|1|1|1|5.44|1.32|1.64|1.6387106918238894|2.0|321.0|324.0|530.63|7.292230570659707e-06|2018-01-18|2018-04-08|0.30864197530864196|0.75|1.0|55.0
28|0|2|0.0|1|1|1|47.36|67.75|71.0|70.92485549132948|4.0|194.0|198.0|14045.0|0.00019301467758120648|2018-04-15|2018-05-27|0.13953488372093023|0.5714285714285714|1.0|6.0
29|0|12|4.6|1|6|6|29.19|56.13|56.13|56.129999999999946|200.0|200.0|200.0|11226.0|0.00015427431616423095|2018-01-08|2018-05-21|0.14925373134328357|0.7|1.0|12.0
30|0|5|3.75|1|3|3|131.58|82.67|82.67|82.67|9.0|9.0|9.0|744.03|1.0224899292327879e-05|2018-01-19|2018-05-18|0.05|0.2777777777777778|0.8|15.0
31|0|1|5.0|1|1|1|18.87|17.65|17.65|17.649999999999846|544.0|544.0|544.0|9601.599999999999|0.00013195085284896488|2018-01-16|2018-05-29|0.1417910447761194|0.7|1.0|4.0
32|0|1|4.6|1|1|1|26.49|32.09|32.09|32.090000000000124|639.0|639.0|639.0|20505.510000000002|0.00028179881817644753|2018-01-11|2018-04-23|0.13592233009708737|0.5625|1.0|40.0
33|0|4|3.33|1|1|1|24.08|44.12|44.12|44.12|1.0|1.0|1.0|44.12|6.063230740393613e-07|2018-04-03|2018-04-03|1.0|1.0|1.0|60.0
34|0|4|5.0|1|1|1|40.08|80.28|102.21|91.66541284403696|1.0|45.0|112.0|10258.48|0.00014097808541639408|2018-03-15|2018-05-03|0.12|0.625|1.0|30.0
35|0|5|5.0|1|1|1|173.86|336.57|393.27|362.6528769118766|103.0|195.0|1490.0|540124.48|0.007422709317260007|2018-01-01|2018-05-30|0.3466666666666667|0.8636363636363636|1.0|3.0
36|1|13|0.0|1|5|5|1949.67|1468.85|1496.48|1486.4866666666667|8.0|3.0|27.0|40135.14|0.0005515607765593864|2018-01-13|2018-05-19|0.031496062992125984|0.21052631578947367|0.6|14.0
37|0|1|5.0|1|1|1|17.1|18.61|25.87|25.351852631579014|7.0|413.0|558.0|14127.960000000001|0.00019415476285369754|2018-01-10|2018-05-11|0.06557377049180328|0.4444444444444444|1.0|22.0
38|0|3|0.0|1|6|6|20.28|30.94|30.94|30.939999999999834|261.0|261.0|261.0|8075.34|0.00011097608732350444|2018-01-05|2018-05-21|0.1897810218978102|0.7142857142857143|1.0|12.0
39|0|10|5.0|1|3|3|54.88|56.06|56.06|56.05999999999996|57.0|57.0|57.0|3195.42|4.391334717241287e-05|2018-02-05|2018-05-27|0.125|0.5625|1.0|6.0
40|0|6|4.0|1|5|5|442.51|804.57|809.71|806.3032558139535|54.0|26.0|86.0|69342.08000000002|0.0009529397802784072|2018-01-04|2018-05-17|0.07462686567164178|0.5|0.8|16.0
41|0|14|5.0|1|1|1|105.89|133.27|141.61|138.32604938271618|18.0|11.0|82.0|11343.630000000001|0.00015589085703456755|2018-01-07|2018-05-14|0.0625|0.35|1.0|19.0
42|0|5|1.0|1|4|4|28.48|17.72|17.72|17.72|18.0|18.0|18.0|318.96|4.3833365298185556e-06|2018-01-08|2018-04-08|0.15384615384615385|0.6923076923076923|1.0|55.0
43|0|5|0.0|1|1|1|86.24|98.2|98.2|98.20000000000002|8.0|8.0|8.0|785.6|1.0796178761680015e-05|2018-01-04|2018-02-26|0.09259259259259259|0.4444444444444444|1.0|96.0
44|0|4|0.0|1|1|1|19.3|16.33|16.33|16.329999999999956|222.0|222.0|222.0|3625.2599999999998|4.982046208957241e-05|2018-01-25|2018-05-22|0.0847457627118644|0.4444444444444444|1.0|11.0
45|0|4|4.0|1|1|1|14.36|6.98|6.98|6.980000000000002|21.0|21.0|21.0|146.58|2.014388852962139e-06|2018-03-08|2018-04-05|0.06896551724137931|0.4|1.0|58.0
46|0|4|0.0|1|1|1|14.28||||||||||||||
47|0|15|5.0|1|3|3|98.55|262.92|270.98|268.5784210526316|7.0|18.0|38.0|10205.98|0.00014025659943753943|2018-01-02|2018-05-31|0.05333333333333334|0.2727272727272727|0.6|2.0
48|0|2|0.0|1|1|1|42.47||||||||||||||
49|0|5|4.0|1|4|4|40.96|84.6|84.6|84.59999999999904|707.0|707.0|707.0|59812.2|0.0008219745459895078|2018-01-12|2018-06-01|0.16312056737588654|0.6666666666666666|1.0|1.0
50|0|5|2.5|1|1|1|70.08|123.15|123.15|123.15000000000006|31.0|31.0|31.0|3817.65|5.2464398993798e-05|2018-01-09|2018-05-29|0.0851063829787234|0.3333333333333333|0.8|4.0
51|0|4|5.0|1|1|1|25.47|37.53|37.53|37.52999999999996|185.0|185.0|185.0|6943.05|9.541549000926989e-05|2018-02-19|2018-04-25|0.030303030303030304|0.2|0.6666666666666666|38.0
52|0|16|4.0|1|1|1|14.18|10.51|10.51|10.51000000000014|875.0|875.0|875.0|9196.25|0.00012638029396270346|2018-01-01|2018-05-30|0.19333333333333333|0.8181818181818182|1.0|3.0
53|0|7|5.0|1|2|2|30.63|53.79|53.79|53.78999999999997|169.0|169.0|169.0|9090.51|0.00012492715248833984|2018-02-27|2018-04-25|0.13793103448275862|0.7777777777777778|1.0|38.0
54|0|4|0.0|1|1|1|11.15|4.57|5.14|5.100495049504966|21.0|315.0|336.0|1715.07|2.3569503957223196e-05|2018-02-19|2018-05-07|0.1282051282051282|0.5833333333333334|1.0|26.0
55|0|4|5.0|1|1|1|9.63|2.21|2.76|2.740938628158842|2.0|292.0|320.0|877.16|1.2054450308802496e-05|2018-01-14|2018-04-24|0.07920792079207921|0.4375|1.0|39.0
56|0|4|0.0|1|1|1|16.17|9.99|9.99|9.98999999999995|328.0|328.0|328.0|3276.7200000000003|4.503061974538205e-05|2018-02-17|2018-04-13|0.125|0.5555555555555556|1.0|50.0
57|0|6|0.0|1|3|3|236.68|301.25|323.04|316.8119354838716|10.0|58.0|93.0|29463.51|0.00040490494005415825|2018-01-25|2018-05-02|0.08163265306122448|0.5333333333333333|1.0|31.0
58|0|17|0.0|1|1|1|326.3||||||||||||||
59|0|16|0.0|1|1|1|1419.0|2331.94|2343.44|2340.255384615384|3.0|7.0|13.0|30423.32|0.000418095215432529|2018-01-25|2018-05-03|0.04040404040404041|0.26666666666666666|0.8|30.0
60|0|14|0.0|1|1|1|76.55|99.45|111.03|103.88444444444441|9.0|6.0|73.0|7583.76|0.00010422050489521185|2018-01-12|2018-05-14|0.056910569105691054|0.3684210526315789|1.0|19.0
61|0|4|0.0|1|1|1|10.15|2.38|2.38|2.38|2.0|2.0|2.0|4.76|6.541472874948685e-08|2018-01-29|2018-05-13|0.01904761904761905|0.13333333333333333|0.4|20.0
62|0|4|5.0|1|1|1|18.18|9.72|11.24|11.124848484848494|10.0|133.0|143.0|1592.1200000000001|2.187985250769601e-05|2018-01-15|2018-05-22|0.1015625|0.631578947368421|1.0|11.0
63|0|9|5.0|1|1|1|49.71|63.0|64.19|63.42355932203388|153.0|85.0|238.0|15095.15|0.00020744645854681016|2018-01-19|2018-05-03|0.08571428571428572|0.5|1.0|30.0
64|0|2|0.0|1|1|1|23.54|17.02|17.02|17.02|6.0|6.0|6.0|102.12|1.4033932982978145e-06|2018-02-08|2018-05-25|0.056074766355140186|0.3125|0.75|8.0
65|0|2|0.0|1|1|1|11.49|4.69|4.69|4.6899999999999995|20.0|20.0|20.0|93.80000000000001|1.289054948886947e-06|2018-01-03|2018-05-25|0.0979020979020979|0.47619047619047616|1.0|8.0
66|0|10|5.0|1|5|5|48.82|100.35|100.35|100.34999999999997|27.0|27.0|27.0|2709.45|3.723486067443217e-05|2018-01-19|2018-04-16|0.07954545454545454|0.42857142857142855|1.0|47.0
67|0|7|5.0|1|1|1|28.92|42.34|44.12|44.1043859649122|1.0|120.0|121.0|5336.74|7.334063014843202e-05|2018-01-10|2018-05-26|0.06569343065693431|0.4|1.0|7.0
68|0|2|3.0|1|1|1|20.96|25.68|30.32|29.546666666666667|1.0|5.0|6.0|177.28|2.4362863682161827e-06|2018-01-13|2018-05-16|0.04838709677419355|0.2631578947368421|0.6|17.0
69|0|2|0.0|1|1|1|19.52|33.5|33.5|33.5|464.0|464.0|464.0|15544.0|0.00021361482010126545|2018-01-12|2018-03-07|0.12727272727272726|0.5555555555555556|1.0|87.0
70|0|5|0.0|1|1|1|1248.45|2584.94|2584.94|2584.94|1.0|1.0|1.0|2584.94|3.552377078439045e-05|2018-05-03|2018-05-03|1.0|1.0|1.0|30.0
71|0|5|5.0|1|1|1|515.91|420.37|420.37|420.37|2.0|2.0|2.0|840.74|1.1553945178328482e-05|2018-03-16|2018-05-04|0.04|0.25|0.6666666666666666|29.0
72|0|2|0.0|1|1|1|19.7|14.45|14.45|14.450000000000001|8.0|8.0|8.0|115.6|1.5886434124875376e-06|2018-01-10|2018-05-21|0.06060606060606061|0.35|1.0|12.0
73|0|2|5.0|1|1|1|14.9|17.9|19.9|19.862790697674466|4.0|237.0|241.0|4787.9|6.57981470125353e-05|2018-03-15|2018-05-30|0.06493506493506493|0.3333333333333333|1.0|3.0
74|0|2|5.0|1|2|2|25.0|27.15|27.15|27.150000000000063|173.0|173.0|173.0|4696.95|6.454825844535761e-05|2018-01-25|2018-06-01|0.0625|0.3684210526315789|1.0|1.0
75|0|17|5.0|1|5|5|29.9|29.9|32.9|32.02598425196828|118.0|294.0|412.0|13200.8|0.00018141318304122395|2018-01-06|2018-06-01|0.1564625850340136|0.7727272727272727|0.8333333333333334|1.0
76|0|5|0.0|1|4|4|675.88|844.19|844.19|844.19|1.0|1.0|1.0|844.19|1.1601357114081787e-05|2018-02-11|2018-02-11|1.0|1.0|1.0|111.0
77|0|5|4.0|1|1|1|178.18|233.14|236.42|234.5457142857143|12.0|9.0|21.0|4925.459999999999|6.768857770303518e-05|2018-01-09|2018-06-01|0.05555555555555555|0.3333333333333333|0.6666666666666666|1.0
78|0|7|4.5|1|1|1|35.38|41.59|50.67|50.574421052631635|1.0|100.0|101.0|5108.59|7.020525822318088e-05|2018-02-23|2018-04-27|0.109375|0.5|1.0|36.0
79|0|7|5.0|1|2|2|29.7||||||||||||||
80|0|18|0.0|1|7|7|23.4|9.06|9.06|9.06|1.0|1.0|1.0|9.06|1.2450786606519976e-07|2018-03-04|2018-03-04|1.0|1.0|1.0|90.0
81|0|8|5.0|1|1|1|40.08|102.21|102.21|102.20999999999948|228.0|228.0|228.0|23303.879999999997|0.00032025566996020827|2018-02-13|2018-05-05|0.07317073170731707|0.4166666666666667|1.0|28.0
82|0|14|0.0|1|7|7|15.0|19.35|19.35|19.35|2.0|2.0|2.0|38.7|5.318382358414162e-07|2018-01-18|2018-03-02|0.045454545454545456|0.2857142857142857|0.6666666666666666|92.0
83|0|4|0.0|1|1|1|12.89|5.19|5.19|5.190000000000013|142.0|142.0|142.0|736.98|1.0128014032310257e-05|2018-01-01|2018-04-13|0.14563106796116504|0.6666666666666666|1.0|50.0
84|0|10|5.0|1|5|5|33.8|31.45|31.91|31.879333333333346|3.0|42.0|45.0|1434.57|1.9714707441628435e-05|2018-03-20|2018-05-29|0.08450704225352113|0.36363636363636365|0.6666666666666666|4.0
85|0|10|4.0|1|3|3|17.23|5.02|5.5|5.056923076923075|12.0|1.0|13.0|65.74|9.034378714267364e-07|2018-01-24|2018-05-30|0.031496062992125984|0.15789473684210525|0.4|3.0
86|0|6|3.0|1|1|1|51.59|26.14|27.03|26.542540792540787|27.0|71.0|442.0|11729.27|0.00016119054947048186|2018-01-15|2018-05-21|0.11811023622047244|0.5263157894736842|0.8|12.0
87|0|19|5.0|1|6|6|37.97|59.39|83.77|68.41802107728361|413.0|166.0|877.0|59962.17|0.0008240355222228189|2018-01-05|2018-05-11|0.15748031496062992|0.631578947368421|1.0|22.0
88|0|6|0.0|1|4|4|1351.9|1563.95|1798.66|1666.6234831460686|9.0|8.0|89.0|148329.49000000002|0.00203843137686969|2018-01-26|2018-05-16|0.11711711711711711|0.6470588235294118|0.8|17.0
89|0|6|5.0|1|5|5|362.1|678.32|698.36|685.9940909090909|5.0|2.0|22.0|15091.87|0.00020740138285136936|2018-01-05|2018-03-31|0.06976744186046512|0.46153846153846156|1.0|63.0
90|0|2|0.0|1|1|1|51.07|62.63|110.94|97.15857142857142|1.0|5.0|7.0|680.11|9.34647293483477e-06|2018-01-11|2018-04-29|0.05504587155963303|0.375|0.75|34.0
91|0|7|0.0|1|2|2|24.84|53.67|53.67|53.669999999999995|3.0|3.0|3.0|161.01|2.212694427721613e-06|2018-01-15|2018-05-25|0.022900763358778626|0.15789473684210525|0.4|8.0
92|0|7|5.0|1|5|5|15.19|5.42|6.33|5.802065727699533|7.0|51.0|219.0|1270.42|1.745886128107628e-05|2018-01-05|2018-05-31|0.10884353741496598|0.5909090909090909|1.0|2.0
93|0|5|0.0|1|1|1|97.17|43.68|43.68|43.68|8.0|8.0|8.0|349.44|4.802210675256446e-06|2018-03-13|2018-03-13|1.0|1.0|1.0|81.0
94|0|5|0.0|1|4|4|200.11|195.1|196.61|196.0707142857144|15.0|27.0|42.0|8234.970000000001|0.00011316981697692475|2018-01-23|2018-05-21|0.058823529411764705|0.3333333333333333|1.0|12.0
95|0|4|0.0|1|1|1|23.62|29.1|31.06|30.20694300518142|101.0|117.0|218.0|6573.120000000001|9.033169366340905e-05|2018-01-13|2018-04-23|0.04950495049504951|0.3125|0.75|40.0
96|0|4|5.0|1|1|1|19.15|19.47|19.47|19.47|13.0|13.0|13.0|253.10999999999999|3.4783869734837427e-06|2018-01-17|2018-05-16|0.08333333333333333|0.5|1.0|17.0
97|0|4|5.0|1|1|1|34.04|51.53|51.53|51.53|1.0|1.0|1.0|51.53|7.081556664834154e-07|2018-03-16|2018-03-16|1.0|1.0|1.0|78.0
98|0|12|0.0|1|1|1|26.22|30.97|32.46|32.43431034482762|3.0|197.0|200.0|6487.53|8.915546537902488e-05|2018-02-17|2018-05-22|0.07368421052631578|0.4|1.0|11.0
99|0|16|0.0|1|1|1|796.1|619.8|653.23|637.65|4.0|10.0|23.0|14665.95|0.00020154813888729762|2018-01-14|2018-05-17|0.056451612903225805|0.3684210526315789|1.0|16.0
100|0|4|0.0|1|1|1|23.62|28.71|30.16|29.513378378378395|74.0|93.0|167.0|4929.42|6.774299835972593e-05|2018-03-23|2018-05-01|0.1|0.42857142857142855|0.6666666666666666|32.0
101|0|3|3.0|1|7|7|17.82|12.51|12.51|12.509999999999993|136.0|136.0|136.0|1701.36|2.3381093047316585e-05|2018-02-08|2018-05-21|0.1650485436893204|0.625|1.0|12.0
102|0|3|5.0|1|7|7|26.45|39.39|39.39|39.38999999999999|11.0|11.0|11.0|433.29|5.954526852912848e-06|2018-02-06|2018-05-20|0.10576923076923077|0.6|1.0|13.0
103|0|3|0.0|1|1|1|30.69|31.92|32.89|32.86708661417319|3.0|151.0|154.0|5062.150000000001|6.95670523401712e-05|2018-02-08|2018-05-29|0.036036036036036036|0.23529411764705882|0.5|4.0
104|0|7|0.0|1|2|2|22.29|26.56|26.56|26.55999999999997|171.0|171.0|171.0|4541.76|6.241554589186332e-05|2018-02-19|2018-05-16|0.022988505747126436|0.15384615384615385|0.5|17.0
105|0|8|0.0|1|1|1|61.1|85.46|85.46|85.46000000000002|27.0|27.0|27.0|2307.4199999999996|3.170992718721448e-05|2018-01-02|2018-03-29|0.11494252873563218|0.6153846153846154|1.0|65.0
106|0|8|0.0|1|1|1|25.33|12.74|12.74|12.740000000000006|44.0|44.0|44.0|560.5600000000001|7.703546291557217e-06|2018-01-09|2018-05-27|0.07913669064748201|0.5|1.0|6.0
107|0|8|5.0|1|4|4|18.9||||||||||||||
108|0|1|5.0|1|1|1|13.35|5.87|5.87|5.869999999999993|214.0|214.0|214.0|1256.18|1.7263166798430754e-05|2018-02-16|2018-04-30|0.06756756756756757|0.4166666666666667|1.0|33.0
109|0|1|5.0|1|1|1|11.83|5.49|6.14|5.991813725490217|2.0|253.0|455.0|2724.3999999999996|3.744031239602982e-05|2018-01-01|2018-05-26|0.136986301369863|0.5238095238095238|1.0|7.0
110|0|5|1.0|1|4|4|64.72|61.07|61.59|61.50333333333336|3.0|15.0|18.0|1107.06|1.5213871766682124e-05|2018-01-09|2018-02-12|0.08571428571428572|0.5|1.0|110.0
111|0|7|0.0|1|1|1|15.5|4.51|4.51|4.51|20.0|20.0|20.0|90.19999999999999|1.2395816246226287e-06|2018-03-04|2018-03-04|1.0|1.0|1.0|90.0
112|0|1|4.75|1|1|1|14.45|12.22|12.22|12.220000000000026|581.0|581.0|581.0|7099.820000000001|9.75699158550802e-05|2018-01-18|2018-05-16|0.06722689075630252|0.3888888888888889|1.0|17.0
113|0|8|0.0|1|1|1|7.85|3.42|3.71|3.451391752577323|224.0|22.0|246.0|847.6999999999999|1.1649593605239495e-05|2018-01-01|2018-05-28|0.14189189189189189|0.6363636363636364|1.0|5.0
114|0|8|4.0|1|4|4|25.4|46.9|46.9|46.90000000000005|61.0|61.0|61.0|2860.9|3.9316175941051876e-05|2018-01-03|2018-05-23|0.11347517730496454|0.6190476190476191|1.0|10.0
115|0|20|4.89|1|1|1|44.54|82.96|89.7|84.48809716599175|202.0|59.0|261.0|22050.219999999998|0.00030302713448876256|2018-01-14|2018-03-24|0.12857142857142856|0.6363636363636364|1.0|70.0
116|0|21|0.0|1|4|4|527.91|464.69|480.37|476.0936363636363|3.0|8.0|11.0|5237.03|7.197035649221116e-05|2018-03-12|2018-05-02|0.038461538461538464|0.25|0.6666666666666666|31.0
117|0|10|5.0|1|6|6|19.2|10.19|10.19|10.19|43.0|43.0|43.0|438.16999999999996|6.021590692471145e-06|2018-01-16|2018-05-27|0.09848484848484848|0.5263157894736842|1.0|6.0
118|0|10|1.0|1|6|6|20.4|12.22|12.22|12.220000000000015|49.0|49.0|49.0|598.7800000000001|8.228788084163391e-06|2018-01-24|2018-05-29|0.06349206349206349|0.3157894736842105|0.8|4.0
119|0|21|0.0|1|1|1|1316.52|1012.22|1012.22|1012.22|10.0|10.0|10.0|10122.2|0.0001391052452411882|2018-01-15|2018-03-12|0.03508771929824561|0.2222222222222222|0.6666666666666666|82.0
120|0|14|0.0|1|4|4|11.29|15.29|19.12|18.737000000000002|1.0|9.0|10.0|187.37|2.5749491020570067e-06|2018-01-21|2018-05-17|0.07692307692307693|0.3333333333333333|1.0|16.0
121|0|4|5.0|1|1|1|30.13|51.48|51.48|51.4799999999997|320.0|320.0|320.0|16473.6|0.00022638993183351816|2018-02-05|2018-03-21|0.15555555555555556|0.7142857142857143|1.0|73.0
122|0|4|4.0|1|1|1|14.43|6.48|6.48|6.48|1.0|1.0|1.0|6.48|8.905198367577202e-08|2018-01-20|2018-01-20|1.0|1.0|1.0|133.0
123|0|22|0.0|1|6|6|26.64|36.63|36.63|36.63|4.0|4.0|4.0|146.52|2.013564297557734e-06|2018-01-11|2018-05-29|0.02877697841726619|0.19047619047619047|0.6|4.0
124|0|22|5.0|1|6|6|33.81|63.21|63.21|63.21|3.0|3.0|3.0|189.63|2.606007355622939e-06|2018-04-06|2018-05-01|0.07692307692307693|0.4|1.0|32.0
125|0|23|0.0|1|1|1|9.6||||||||||||||
126|0|23|0.0|1|1|1|13.08||||||||||||||
127|0|8|0.0|1|1|1|448.75|628.72|628.72|628.7200000000001|13.0|13.0|13.0|8173.360000000001|0.00011232313600250123|2018-01-16|2018-04-16|0.054945054945054944|0.35714285714285715|1.0|47.0
128|0|16|5.0|1|4|4|25.96|42.38|42.38|42.38|20.0|20.0|20.0|847.6|1.1648219346232154e-05|2018-01-01|2018-05-25|0.11724137931034483|0.6190476190476191|1.0|8.0
129|0|7|5.0|1|1|1|21.41|23.8|24.68|23.830000000000073|200.0|6.0|206.0|4908.08|6.744973148755912e-05|2018-01-18|2018-05-14|0.07692307692307693|0.5|1.0|19.0
130|0|14|0.0|1|1|1|24.03|14.73|14.73|14.730000000000015|131.0|131.0|131.0|1929.63|2.6518114083376537e-05|2018-03-07|2018-05-20|0.05333333333333334|0.36363636363636365|0.6666666666666666|13.0
131|0|22|0.0|1|5|5|159.12|243.74|243.74|243.7399999999999|16.0|16.0|16.0|3899.84|5.3593902471932525e-05|2018-01-18|2018-05-24|0.031496062992125984|0.21052631578947367|0.6|9.0
132|0|22|4.0|1|5|5|194.46|375.72|375.72|375.72|4.0|4.0|4.0|1502.88|2.0653463769543866e-05|2018-03-04|2018-05-01|0.06779661016949153|0.4|1.0|32.0
133|0|22|0.0|1|5|5|64.31|60.66|60.66|60.65999999999999|6.0|6.0|6.0|363.96|5.001753083122528e-06|2018-01-05|2018-02-28|0.10909090909090909|0.4444444444444444|1.0|94.0
134|0|22|0.0|1|5|5|159.9|208.24|208.24|208.24|3.0|3.0|3.0|624.72|8.585270870667947e-06|2018-02-01|2018-05-17|0.02830188679245283|0.1875|0.5|16.0
135|0|5|0.0|1|4|4|40.4|33.9|33.9|33.9|2.0|2.0|2.0|67.8|9.317476069779849e-07|2018-01-12|2018-04-13|0.021739130434782608|0.14285714285714285|0.5|50.0
136|0|7|4.0|1|6|6|9.16|6.68|6.68|6.679999999999982|176.0|176.0|176.0|1175.6799999999998|1.6156888297520314e-05|2018-01-11|2018-05-02|0.08035714285714286|0.47058823529411764|1.0|31.0
137|0|16|5.0|1|1|1|28.86|42.26|42.26|42.26000000000015|171.0|171.0|171.0|7226.46|9.93102774619783e-05|2018-01-01|2018-05-24|0.11805555555555555|0.6666666666666666|1.0|9.0
138|0|16|5.0|1|6|6|11.0|11.85|11.85|11.849999999999952|326.0|326.0|326.0|3863.1|5.308899971263501e-05|2018-01-01|2018-05-31|0.2847682119205298|0.9090909090909091|1.0|2.0
139|1|14|0.0|1|1|1|315.92|218.86|218.86|218.8600000000002|67.0|67.0|67.0|14663.62|0.00020151611865242656|2018-01-08|2018-05-14|0.031496062992125984|0.21052631578947367|0.6|19.0
140|0|5|0.0|1|1|1|5752.63|6844.68|6849.82|6848.535|1.0|3.0|4.0|27394.14|0.00037646643643392177|2018-01-01|2018-01-02|1.0|1.0|1.0|151.0
