index|itemID|simulationPrice|promotion|promotion_train|promotion_test|predicted_promotion
34|35|337.84|2018-07-01,2018-07-02,2018-07-13|[datetime.date(2018, 1, 1), datetime.date(2018, 5, 25)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 6), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-12
35|36|1490.64||[]|[]|
36|37|24.01||[datetime.date(2018, 1, 29), datetime.date(2018, 4, 23), datetime.date(2018, 5, 11)]|[]|2018-01-29
36|37|24.01||[datetime.date(2018, 1, 29), datetime.date(2018, 4, 23), datetime.date(2018, 5, 11)]|[]|2018-04-23
36|37|24.01||[datetime.date(2018, 1, 29), datetime.date(2018, 4, 23), datetime.date(2018, 5, 11)]|[]|2018-05-11
37|38|23.17||[datetime.date(2018, 1, 18)]|[datetime.date(2018, 6, 8)]|2018-01-18
37|38|23.17||[datetime.date(2018, 1, 18)]|[datetime.date(2018, 6, 8)]|2018-06-08
38|39|56.06||[]|[datetime.date(2018, 6, 9)]|2018-06-09
39|40|804.57||[]|[datetime.date(2018, 6, 9)]|2018-06-09
40|41|133.27||[]|[datetime.date(2018, 6, 13)]|2018-06-13
41|42|17.72||[]|[]|
42|43|98.2||[]|[]|
43|44|16.33||[datetime.date(2018, 2, 19)]|[datetime.date(2018, 6, 10)]|2018-02-19
43|44|16.33||[datetime.date(2018, 2, 19)]|[datetime.date(2018, 6, 10)]|2018-06-10
44|45|6.98||[]|[]|
45|46|7.2||[]|[]|
46|47|262.92||[]|[datetime.date(2018, 6, 7)]|2018-06-07
47|48|56.31||[]|[]|
48|49|84.6||[datetime.date(2018, 1, 12)]|[datetime.date(2018, 6, 11)]|2018-01-12
48|49|84.6||[datetime.date(2018, 1, 12)]|[datetime.date(2018, 6, 11)]|2018-06-11
49|50|123.15||[]|[datetime.date(2018, 6, 9)]|2018-06-09
50|51|37.53||[datetime.date(2018, 2, 19)]|[datetime.date(2018, 6, 10)]|2018-02-19
50|51|37.53||[datetime.date(2018, 2, 19)]|[datetime.date(2018, 6, 10)]|2018-06-10
51|52|10.51||[datetime.date(2018, 1, 1), datetime.date(2018, 3, 2)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11)]|2018-01-01
51|52|10.51||[datetime.date(2018, 1, 1), datetime.date(2018, 3, 2)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11)]|2018-03-02
51|52|10.51||[datetime.date(2018, 1, 1), datetime.date(2018, 3, 2)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11)]|2018-06-03
51|52|10.51||[datetime.date(2018, 1, 1), datetime.date(2018, 3, 2)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11)]|2018-06-04
51|52|10.51||[datetime.date(2018, 1, 1), datetime.date(2018, 3, 2)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11)]|2018-06-10
51|52|10.51||[datetime.date(2018, 1, 1), datetime.date(2018, 3, 2)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 10), datetime.date(2018, 6, 11)]|2018-06-11
52|53|53.79||[datetime.date(2018, 3, 23)]|[]|2018-03-23
53|54|4.57||[datetime.date(2018, 2, 19)]|[]|2018-02-19
54|55|2.57||[datetime.date(2018, 2, 19)]|[]|2018-02-19
55|56|9.99||[datetime.date(2018, 2, 17)]|[datetime.date(2018, 6, 14)]|2018-02-17
55|56|9.99||[datetime.date(2018, 2, 17)]|[datetime.date(2018, 6, 14)]|2018-06-14
56|57|301.25||[]|[]|
57|58|277.72|2018-07-13|[]|[]|
58|59|2331.94||[]|[]|
59|60|99.45||[]|[datetime.date(2018, 6, 15)]|2018-06-15
60|61|2.38||[]|[]|
61|62|9.72||[datetime.date(2018, 2, 17)]|[]|2018-02-17
62|63|63.0||[datetime.date(2018, 4, 7)]|[datetime.date(2018, 6, 10)]|2018-04-07
62|63|63.0||[datetime.date(2018, 4, 7)]|[datetime.date(2018, 6, 10)]|2018-06-10
63|64|17.02||[]|[]|
64|65|4.69||[]|[datetime.date(2018, 6, 11)]|2018-06-11
65|66|100.35||[]|[]|
66|67|42.34||[]|[]|
67|68|24.24||[]|[]|
68|69|33.5||[datetime.date(2018, 1, 29)]|[]|2018-01-29
69|70|2584.94||[]|[]|
70|71|420.37||[]|[]|
71|72|14.45||[]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5)]|2018-06-03
71|72|14.45||[]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5)]|2018-06-04
71|72|14.45||[]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 5)]|2018-06-05
72|73|17.9||[datetime.date(2018, 4, 17)]|[]|2018-04-17
73|74|27.15||[datetime.date(2018, 5, 16)]|[datetime.date(2018, 6, 14)]|2018-05-16
73|74|27.15||[datetime.date(2018, 5, 16)]|[datetime.date(2018, 6, 14)]|2018-06-14
74|75|31.34|2018-07-05,2018-07-11|[datetime.date(2018, 1, 6)]|[]|2018-01-06
75|76|844.19||[]|[]|
76|77|233.14||[]|[]|
77|78|41.59||[]|[]|
78|79|31.92|2018-07-05|[]|[]|
79|80|9.06||[]|[]|
80|81|102.21||[datetime.date(2018, 2, 13)]|[]|2018-02-13
81|82|19.35||[]|[datetime.date(2018, 6, 2)]|2018-06-02
82|83|5.19||[]|[datetime.date(2018, 6, 13), datetime.date(2018, 6, 14)]|2018-06-13
82|83|5.19||[]|[datetime.date(2018, 6, 13), datetime.date(2018, 6, 14)]|2018-06-14
83|84|31.45||[]|[]|
84|85|5.02||[]|[datetime.date(2018, 6, 14)]|2018-06-14
85|86|25.53||[datetime.date(2018, 2, 12), datetime.date(2018, 5, 4)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 6)]|2018-02-12
85|86|25.53||[datetime.date(2018, 2, 12), datetime.date(2018, 5, 4)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 6)]|2018-05-04
85|86|25.53||[datetime.date(2018, 2, 12), datetime.date(2018, 5, 4)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 6)]|2018-06-03
85|86|25.53||[datetime.date(2018, 2, 12), datetime.date(2018, 5, 4)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 6)]|2018-06-04
85|86|25.53||[datetime.date(2018, 2, 12), datetime.date(2018, 5, 4)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4), datetime.date(2018, 6, 6)]|2018-06-06
86|87|73.53|2018-07-13|[datetime.date(2018, 3, 15), datetime.date(2018, 4, 26)]|[datetime.date(2018, 6, 2)]|2018-03-15
86|87|73.53|2018-07-13|[datetime.date(2018, 3, 15), datetime.date(2018, 4, 26)]|[datetime.date(2018, 6, 2)]|2018-04-26
86|87|73.53|2018-07-13|[datetime.date(2018, 3, 15), datetime.date(2018, 4, 26)]|[datetime.date(2018, 6, 2)]|2018-06-02
87|88|1620.82||[]|[]|
88|89|698.36||[]|[datetime.date(2018, 6, 12)]|2018-06-12
89|90|110.94||[]|[]|
90|91|60.03||[]|[datetime.date(2018, 6, 10)]|2018-06-10
91|92|5.41|2018-07-13|[datetime.date(2018, 2, 17)]|[]|2018-02-17
92|93|43.68||[]|[]|
93|94|195.1||[]|[]|
94|95|29.1||[datetime.date(2018, 2, 19), datetime.date(2018, 2, 28)]|[]|2018-02-19
94|95|29.1||[datetime.date(2018, 2, 19), datetime.date(2018, 2, 28)]|[]|2018-02-28
95|96|19.47||[]|[]|
96|97|51.53||[]|[]|
97|98|30.97||[datetime.date(2018, 3, 15)]|[datetime.date(2018, 6, 8), datetime.date(2018, 6, 11)]|2018-03-15
97|98|30.97||[datetime.date(2018, 3, 15)]|[datetime.date(2018, 6, 8), datetime.date(2018, 6, 11)]|2018-06-08
97|98|30.97||[datetime.date(2018, 3, 15)]|[datetime.date(2018, 6, 8), datetime.date(2018, 6, 11)]|2018-06-11
98|99|610.36||[]|[datetime.date(2018, 6, 10)]|2018-06-10
99|100|28.71||[datetime.date(2018, 3, 23)]|[]|2018-03-23
100|101|12.51||[datetime.date(2018, 2, 8)]|[datetime.date(2018, 6, 5)]|2018-02-08
100|101|12.51||[datetime.date(2018, 2, 8)]|[datetime.date(2018, 6, 5)]|2018-06-05
101|102|37.86||[]|[]|
102|103|30.95||[datetime.date(2018, 2, 8)]|[]|2018-02-08
103|104|26.56||[datetime.date(2018, 5, 16)]|[]|2018-05-16
104|105|85.46|2018-07-01|[]|[]|
105|106|12.74||[]|[datetime.date(2018, 6, 8)]|2018-06-08
106|107|19.56|2018-07-13|[]|[]|
107|108|5.87||[datetime.date(2018, 2, 19)]|[datetime.date(2018, 6, 9)]|2018-02-19
107|108|5.87||[datetime.date(2018, 2, 19)]|[datetime.date(2018, 6, 9)]|2018-06-09
108|109|5.8||[datetime.date(2018, 1, 29), datetime.date(2018, 4, 23)]|[datetime.date(2018, 6, 7)]|2018-01-29
108|109|5.8||[datetime.date(2018, 1, 29), datetime.date(2018, 4, 23)]|[datetime.date(2018, 6, 7)]|2018-04-23
108|109|5.8||[datetime.date(2018, 1, 29), datetime.date(2018, 4, 23)]|[datetime.date(2018, 6, 7)]|2018-06-07
109|110|61.07||[]|[datetime.date(2018, 6, 5)]|2018-06-05
110|111|4.51|2018-07-04|[]|[datetime.date(2018, 6, 7)]|2018-06-07
111|112|12.22||[datetime.date(2018, 2, 10), datetime.date(2018, 4, 23), datetime.date(2018, 5, 16)]|[]|2018-02-10
111|112|12.22||[datetime.date(2018, 2, 10), datetime.date(2018, 4, 23), datetime.date(2018, 5, 16)]|[]|2018-04-23
111|112|12.22||[datetime.date(2018, 2, 10), datetime.date(2018, 4, 23), datetime.date(2018, 5, 16)]|[]|2018-05-16
112|113|3.71||[datetime.date(2018, 1, 5)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 10)]|2018-01-05
112|113|3.71||[datetime.date(2018, 1, 5)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 10)]|2018-06-02
112|113|3.71||[datetime.date(2018, 1, 5)]|[datetime.date(2018, 6, 2), datetime.date(2018, 6, 10)]|2018-06-10
113|114|46.9|2018-07-01|[]|[datetime.date(2018, 6, 11)]|2018-06-11
114|115|78.46|2018-07-08|[datetime.date(2018, 1, 14)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-01-14
114|115|78.46|2018-07-08|[datetime.date(2018, 1, 14)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-04
114|115|78.46|2018-07-08|[datetime.date(2018, 1, 14)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-05
114|115|78.46|2018-07-08|[datetime.date(2018, 1, 14)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-11
114|115|78.46|2018-07-08|[datetime.date(2018, 1, 14)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 5), datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-12
115|116|451.06||[]|[datetime.date(2018, 6, 10)]|2018-06-10
116|117|10.19||[]|[]|
117|118|12.22||[]|[]|
118|119|1012.22||[]|[]|
119|120|19.12||[]|[]|
120|121|51.48||[datetime.date(2018, 2, 17)]|[]|2018-02-17
121|122|6.48||[]|[]|
122|123|36.63||[]|[]|
123|124|63.21||[]|[]|
124|125|5.07|2018-07-08,2018-07-13|[]|[]|
125|126|13.63|2018-07-05,2018-07-11|[]|[]|
126|127|628.72||[]|[]|
127|128|42.38||[]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 8), datetime.date(2018, 6, 11)]|2018-06-05
127|128|42.38||[]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 8), datetime.date(2018, 6, 11)]|2018-06-08
127|128|42.38||[]|[datetime.date(2018, 6, 5), datetime.date(2018, 6, 8), datetime.date(2018, 6, 11)]|2018-06-11
128|129|23.8||[datetime.date(2018, 2, 17)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 13), datetime.date(2018, 6, 15)]|2018-02-17
128|129|23.8||[datetime.date(2018, 2, 17)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 13), datetime.date(2018, 6, 15)]|2018-06-04
128|129|23.8||[datetime.date(2018, 2, 17)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 13), datetime.date(2018, 6, 15)]|2018-06-08
128|129|23.8||[datetime.date(2018, 2, 17)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 13), datetime.date(2018, 6, 15)]|2018-06-09
128|129|23.8||[datetime.date(2018, 2, 17)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 13), datetime.date(2018, 6, 15)]|2018-06-13
128|129|23.8||[datetime.date(2018, 2, 17)]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 8), datetime.date(2018, 6, 9), datetime.date(2018, 6, 13), datetime.date(2018, 6, 15)]|2018-06-15
129|130|14.73||[datetime.date(2018, 5, 20)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 10)]|2018-05-20
129|130|14.73||[datetime.date(2018, 5, 20)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 10)]|2018-06-06
129|130|14.73||[datetime.date(2018, 5, 20)]|[datetime.date(2018, 6, 6), datetime.date(2018, 6, 10)]|2018-06-10
130|131|243.74||[]|[]|
131|132|375.72||[]|[datetime.date(2018, 6, 11)]|2018-06-11
132|133|25.62||[]|[datetime.date(2018, 6, 11)]|2018-06-11
133|134|208.24||[]|[datetime.date(2018, 6, 8), datetime.date(2018, 6, 11)]|2018-06-08
133|134|208.24||[]|[datetime.date(2018, 6, 8), datetime.date(2018, 6, 11)]|2018-06-11
134|135|33.9||[]|[]|
135|136|6.68|2018-07-13|[]|[]|
136|137|42.26||[datetime.date(2018, 3, 2)]|[]|2018-03-02
137|138|11.85||[datetime.date(2018, 2, 13)]|[]|2018-02-13
138|139|218.86||[]|[]|
139|140|6940.08|2018-07-13|[]|[]|
140|141|635.39||[]|[]|
141|142|1241.94||[]|[]|
142|143|28.99||[]|[datetime.date(2018, 6, 14)]|2018-06-14
143|144|121.07||[]|[]|
144|145|204.47||[]|[]|
145|146|14.12|2018-07-13|[datetime.date(2018, 2, 17), datetime.date(2018, 3, 21)]|[datetime.date(2018, 6, 8), datetime.date(2018, 6, 9)]|2018-02-17
145|146|14.12|2018-07-13|[datetime.date(2018, 2, 17), datetime.date(2018, 3, 21)]|[datetime.date(2018, 6, 8), datetime.date(2018, 6, 9)]|2018-03-21
145|146|14.12|2018-07-13|[datetime.date(2018, 2, 17), datetime.date(2018, 3, 21)]|[datetime.date(2018, 6, 8), datetime.date(2018, 6, 9)]|2018-06-08
145|146|14.12|2018-07-13|[datetime.date(2018, 2, 17), datetime.date(2018, 3, 21)]|[datetime.date(2018, 6, 8), datetime.date(2018, 6, 9)]|2018-06-09
146|147|763.52|2018-07-05|[]|[]|
147|148|17.75||[]|[]|
148|149|48.45||[]|[]|
149|150|430.62||[]|[]|
150|151|3.5||[datetime.date(2018, 4, 17)]|[]|2018-04-17
151|152|10.71||[]|[datetime.date(2018, 6, 9)]|2018-06-09
152|153|122.85||[]|[]|
153|154|21.04||[]|[]|
154|155|1414.26||[]|[]|
155|156|47.82||[]|[]|
156|157|147.38||[]|[]|
157|158|152.7||[]|[]|
158|159|35.14||[datetime.date(2018, 4, 17)]|[]|2018-04-17
159|160|4.09||[datetime.date(2018, 4, 13)]|[]|2018-04-13
160|161|15.21||[]|[]|
161|162|58.2||[]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 12)]|2018-06-04
161|162|58.2||[]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 12)]|2018-06-07
161|162|58.2||[]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 12)]|2018-06-08
161|162|58.2||[]|[datetime.date(2018, 6, 4), datetime.date(2018, 6, 7), datetime.date(2018, 6, 8), datetime.date(2018, 6, 12)]|2018-06-12
162|163|15.9||[]|[datetime.date(2018, 6, 5)]|2018-06-05
163|164|28.99|2018-07-09|[]|[]|
164|165|112.92|2018-06-30|[]|[]|
165|166|261.99||[]|[]|
166|167|85.34||[]|[datetime.date(2018, 6, 14)]|2018-06-14
167|168|42.81|2018-07-08|[datetime.date(2018, 1, 18)]|[]|2018-01-18
168|169|6.35||[datetime.date(2018, 2, 9), datetime.date(2018, 5, 16)]|[datetime.date(2018, 6, 9)]|2018-02-09
168|169|6.35||[datetime.date(2018, 2, 9), datetime.date(2018, 5, 16)]|[datetime.date(2018, 6, 9)]|2018-05-16
168|169|6.35||[datetime.date(2018, 2, 9), datetime.date(2018, 5, 16)]|[datetime.date(2018, 6, 9)]|2018-06-09
169|170|20.2|2018-07-08|[]|[datetime.date(2018, 6, 11)]|2018-06-11
170|171|79.59|2018-07-08|[datetime.date(2018, 1, 18), datetime.date(2018, 5, 2)]|[datetime.date(2018, 6, 11)]|2018-01-18
170|171|79.59|2018-07-08|[datetime.date(2018, 1, 18), datetime.date(2018, 5, 2)]|[datetime.date(2018, 6, 11)]|2018-05-02
170|171|79.59|2018-07-08|[datetime.date(2018, 1, 18), datetime.date(2018, 5, 2)]|[datetime.date(2018, 6, 11)]|2018-06-11
171|172|36.63||[]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4)]|2018-06-03
171|172|36.63||[]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 4)]|2018-06-04
172|173|15.36||[datetime.date(2018, 4, 5)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 5)]|2018-04-05
172|173|15.36||[datetime.date(2018, 4, 5)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 5)]|2018-06-03
172|173|15.36||[datetime.date(2018, 4, 5)]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 5)]|2018-06-05
173|174|10.58|2018-07-01|[datetime.date(2018, 4, 5)]|[]|2018-04-05
174|175|7.07||[datetime.date(2018, 4, 17)]|[]|2018-04-17
175|176|10.47||[datetime.date(2018, 4, 17), datetime.date(2018, 5, 1)]|[]|2018-04-17
175|176|10.47||[datetime.date(2018, 4, 17), datetime.date(2018, 5, 1)]|[]|2018-05-01
176|177|38.97||[datetime.date(2018, 4, 5)]|[datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-04-05
176|177|38.97||[datetime.date(2018, 4, 5)]|[datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-11
176|177|38.97||[datetime.date(2018, 4, 5)]|[datetime.date(2018, 6, 11), datetime.date(2018, 6, 12)]|2018-06-12
177|178|145.53||[]|[]|
178|179|194.39||[]|[]|
179|180|12.62||[datetime.date(2018, 5, 1)]|[]|2018-05-01
180|181|8.29||[]|[datetime.date(2018, 6, 4)]|2018-06-04
181|182|9.48||[]|[datetime.date(2018, 6, 2)]|2018-06-02
182|183|17.74||[]|[datetime.date(2018, 6, 3), datetime.date(2018, 6, 6), datetime.date(2018, 6, 10)]|2018-06-03
